iter,ts,branch_p_min,branch_p_all,anomaly,aspath_seen,comm_seen,msee_contrib_count
1,2026-08-18T13:43:22.2952371+02:00,1,1,no,65515,,11
2,2026-08-18T13:49:05.1096542+02:00,1,1,no,65515,,11
3,2026-08-18T13:54:56.1114082+02:00,1,1,no,65515,,11
4,2026-08-18T14:01:16.7006256+02:00,1,1,no,65515,,11
5,2026-08-18T14:06:19.7464219+02:00,1,1,no,65515,,11
6,2026-08-18T14:11:38.1585214+02:00,1,1,no,65515,,11
7,2026-08-18T14:16:47.6101573+02:00,1,1,no,65515,,11
8,2026-08-18T14:23:22.7890089+02:00,1,1,no,65515,,11
9,2026-08-18T14:29:23.9779389+02:00,1,1,no,65515,,11
10,2026-08-18T14:34:59.3999754+02:00,1,1,no,65515,,11
11,2026-08-18T14:40:48.2882163+02:00,1,1,no,65515,,11
12,2026-08-18T14:45:50.5133691+02:00,1,1,no,65515,,11
13,2026-08-18T14:51:57.6028219+02:00,1,1,no,65515,,11
14,2026-08-18T14:57:07.4695838+02:00,1,1,no,65515,,11
15,2026-08-18T15:03:18.4466808+02:00,1,1,no,65515,,11
16,2026-08-18T15:09:25.7624934+02:00,1,1,no,65515,,11
17,2026-08-18T15:15:55.8565220+02:00,1,1,no,65515,,11
18,2026-08-18T15:22:14.2163619+02:00,1,1,no,65515,,11
19,2026-08-18T15:27:42.5644377+02:00,1,1,no,65515,,11
20,2026-08-18T15:32:50.7535885+02:00,1,1,no,65515,,11
