iter,ts,branch_p_min,branch_p_all,er2_16_primary,er2_16_secondary,er1_16_leak,onprem_specifics,anomaly,aspath_seen,comm_seen
1,2026-08-18T16:03:32.5047038+02:00,1,1,1,1,0,63,no,65515,
2,2026-08-18T16:08:20.1624877+02:00,1,1,1,1,0,63,no,65515,
3,2026-08-18T16:13:10.2204915+02:00,1,1,1,1,0,63,no,65515,
4,2026-08-18T16:18:46.9739115+02:00,1,1,1,1,0,63,no,65515,
5,2026-08-18T16:26:52.9380787+02:00,1,1,1,1,0,63,no,65515,
6,2026-08-18T16:39:16.7143168+02:00,1,1,1,1,0,63,no,65515,
7,2026-08-18T16:48:29.4482222+02:00,1,1,1,1,0,63,no,65515,
8,2026-08-18T16:56:56.8349008+02:00,1,1,1,1,0,63,no,65515,
9,2026-08-18T17:04:51.5206289+02:00,1,1,1,1,0,63,no,65515,
10,2026-08-18T17:12:35.6213716+02:00,1,1,0,0,0,63,YES,65515,
11,2026-08-18T17:19:03.3267789+02:00,1,1,0,0,0,63,YES,65515,
12,2026-08-18T17:25:07.6521103+02:00,1,1,0,0,0,63,YES,65515,
13,2026-08-18T17:30:15.4366915+02:00,1,1,0,0,0,63,YES,65515,
14,2026-08-18T17:35:54.8393259+02:00,1,1,0,0,0,63,YES,65515,
15,2026-08-18T17:41:44.7865172+02:00,1,1,0,0,0,63,YES,65515,
16,2026-08-18T17:46:33.9130851+02:00,1,1,0,0,0,63,YES,65515,
17,2026-08-18T17:51:04.5880887+02:00,1,1,0,0,0,63,YES,65515,
18,2026-08-18T17:55:50.0869800+02:00,1,1,0,0,0,63,YES,65515,
19,2026-08-18T18:01:17.0418416+02:00,1,1,0,0,0,63,YES,65515,
20,2026-08-18T18:06:52.7442520+02:00,1,1,0,0,0,63,YES,65515,
21,2026-08-18T18:12:13.2042054+02:00,1,1,0,0,0,63,YES,65515,
22,2026-08-18T18:17:09.8977975+02:00,1,1,0,0,0,63,YES,65515,
23,2026-08-18T18:22:23.5352198+02:00,1,1,0,0,0,63,YES,65515,
24,2026-08-18T18:27:44.7186501+02:00,1,1,0,0,0,63,YES,65515,
25,2026-08-18T18:32:50.6229017+02:00,1,1,0,0,0,63,YES,65515,
26,2026-08-18T18:37:48.4052900+02:00,1,1,0,0,0,63,YES,65515,
27,2026-08-18T18:42:49.6214294+02:00,1,1,0,0,0,63,YES,65515,
28,2026-08-18T18:48:37.6692636+02:00,1,1,0,0,0,63,YES,65515,
29,2026-08-18T18:54:25.3077142+02:00,1,1,0,0,0,63,YES,65515,
30,2026-08-18T19:00:04.6589869+02:00,1,1,0,0,0,63,YES,65515,
